artist,cardClass,collectible,cost,dbfId,flavor,id,name,rarity,set,spellSchool,text,type,mechanics,attack,health,race,elite,targetingArrowText,durability,overload,spellDamage,battlegroundsPremiumDbfId,howToEarnGolden,howToEarn,armor,hasDiamondSkin,collectionText,techLevel,faction,multiClassGroup,isMiniSet,hideStats,battlegroundsDarkmoonPrizeTurn,questReward
Tooth,ROGUE,TRUE,3,2768,I have great deal for you... for 4 damage to your face!,AT_032,Shady Dealer,RARE,TGT,NA,"<b>Battlecry:</b> If you have a Pirate, gain +1/+1.",MINION,BATTLECRY,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Dixon,ROGUE,TRUE,3,2770,Yoink!,AT_033,Burgle,RARE,TGT,NA,Add 2 random cards to your hand <i>(from your opponent's class)</i>.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nutthapon Petchthai,ROGUE,TRUE,4,2763,How much more poisoned can a blade get?  The answer is a lot.  A lot more poisoned.,AT_034,Poisoned Blade,EPIC,TGT,NA,Your Hero Power gives this weapon +1 Attack instead of replacing it.,WEAPON,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daren Bader,ROGUE,TRUE,3,2587,Can you hold these eggs for just a second?  I promise they're not full of giant enraged undead spider things.,AT_035,Beneath the Grounds,EPIC,TGT,NA,"Shuffle 3 Ambushes into your opponent's deck. When drawn, you summon a 4/4 Nerubian.",SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eric Braddock,ROGUE,TRUE,9,2586,"Was actually a pretty nice guy before, you know, the whole Lich King thing.",AT_036,Anub'arak,LEGENDARY,TGT,NA,<b>Deathrattle:</b> Return this to your hand and summon a 4/4 Nerubian.,MINION,DEATHRATTLE,8,4,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dan Brereton,DRUID,TRUE,1,2792,2 out of 2 saplings recommend that you summon the saplings.,AT_037,Living Roots,COMMON,TGT,"NATURE",<b>Choose One -</b> Deal $2 damage; or Summon two 1/1 Saplings.,SPELL,CHOOSE_ONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laurel Austin,DRUID,TRUE,2,2782,"She loves mana crystals, she hates mana crystals.   So fickle!",AT_038,Darnassus Aspirant,RARE,TGT,NA,"<b>Battlecry:</b> Gain an empty Mana Crystal.
<b>Deathrattle:</b> Lose a Mana Crystal.",MINION,BATTLECRY,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laurel Austin,DRUID,TRUE,2,2782,"She loves mana crystals, she hates mana crystals.   So fickle!",AT_038,Darnassus Aspirant,RARE,TGT,NA,"<b>Battlecry:</b> Gain an empty Mana Crystal.
<b>Deathrattle:</b> Lose a Mana Crystal.",MINION,DEATHRATTLE,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Pascenko,DRUID,TRUE,4,2780,Maybe if you whistle a tune it will soothe him.  Yeah...  Try that.,AT_039,Savage Combatant,RARE,TGT,NA,"<b>Inspire:</b> Give your hero
+2 Attack this turn.",MINION,INSPIRE,5,4,BEAST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Ryman,DRUID,TRUE,4,2786,She was born to be something.  She is just not quite sure what yet...,AT_040,Wildwalker,COMMON,TGT,NA,<b>Battlecry:</b> Give a friendly Beast +3 Health.,MINION,BATTLECRY,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ralph Horsley,DRUID,TRUE,7,2788,He gets a discount on the tournament entry fee because he is his own horse.,AT_041,Knight of the Wild,RARE,TGT,NA,"Whenever you summon a Beast, reduce the Cost of this card by (1).",MINION,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthur Gimaldinov,DRUID,TRUE,2,2783,"That's saberTEETH, not like curved pirate blades.  That's a different kind of druid.  Druid of the Curved Pirate Blades.",AT_042,Druid of the Saber,COMMON,TGT,NA,"[x]<b>Choose One -</b> Transform
into a 2/1 with <b>Charge</b>;
or a 3/2 with <b>Stealth</b>.",MINION,CHOOSE_ONE,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christopher Moeller,DRUID,TRUE,4,2785,Hey!  Moon!  Can I have some mana crystals?,AT_043,Astral Communion,EPIC,TGT,ARCANE,Gain 10 Mana Crystals. Discard your hand.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dan Scott,DRUID,TRUE,3,2793,Is this a noun or a verb?  We will never know.,AT_044,Mulch,EPIC,TGT,"NATURE","Destroy a minion.
Add a random minion to your opponent's hand.",SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Velvet Engine,DRUID,TRUE,10,2796,"Call her ""Tweety"".  She'll find it real funny.  I PROMISE.",AT_045,Aviana,LEGENDARY,TGT,NA,Your minions cost (1).,MINION,AURA,5,5,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eva Widermann,SHAMAN,TRUE,3,2513,Turns out the tuskarr aren't real choosy about their totems.,AT_046,Tuskarr Totemic,COMMON,TGT,NA,<b>Battlecry:</b> Summon a random basic Totem.,MINION,BATTLECRY,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RK Post,SHAMAN,TRUE,4,2613,It's nice to find a real craftsman in this day and age of mass-produced totems.,AT_047,Draenei Totemcarver,RARE,TGT,NA,<b>Battlecry:</b> Gain +1/+1 for each friendly Totem.,MINION,BATTLECRY,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luca Zontini,SHAMAN,TRUE,3,2612,"Favored by shaman who study the art of restoration and healing, this spell would feel smug, if it had feelings.",AT_048,Healing Wave,RARE,TGT,"NATURE","Restore #7 Health. Reveal a minion in each deck. If yours costs more, Restore #14 instead.",SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sean McNally,SHAMAN,TRUE,5,2615,"Allowing totems to attack is not cheating.  I mean, there isn't anything in the rule books about it.",AT_049,Thunder Bluff Valiant,RARE,TGT,NA,<b>Inspire:</b> Give your Totems +2 Attack.,MINION,INSPIRE,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peet Cooper,SHAMAN,TRUE,4,2617,You can only pick it up if you are worthy.,AT_050,Charged Hammer,EPIC,TGT,NA,<b>Deathrattle:</b> Your Hero Power becomes 'Deal 2 damage.',WEAPON,DEATHRATTLE,2,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Walpole,SHAMAN,TRUE,3,2620,"I'm not a shaman or anything, but isn't Elemental Destruction the opposite of what they want to do?",AT_051,Elemental Destruction,EPIC,TGT,"NATURE",Deal $4-$5 damage to all minions. <b>Overload:</b> (5),SPELL,OVERLOAD,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steve Prescott,SHAMAN,TRUE,2,2610,What happens when you glue a buncha totems together.,AT_052,Totem Golem,COMMON,TGT,NA,<b>Overload:</b> (1),MINION,OVERLOAD,3,4,TOTEM,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zoltan & Gabor,SHAMAN,TRUE,2,2514,MOMMMMMYYYYYYYYY!!!,AT_053,Ancestral Knowledge,COMMON,TGT,NA,Draw 2 cards. <b>Overload:</b> (2),SPELL,OVERLOAD,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wei Wang,SHAMAN,TRUE,6,2618,"Calling the mist doesn't sound all that great.  ""Ooooh, it is slightly damp now!""",AT_054,The Mistcaller,LEGENDARY,TGT,NA,<b>Battlecry:</b> Give all minions in your hand and deck +1/+1.,MINION,BATTLECRY,4,4,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcelo Vignali,PRIEST,TRUE,1,2582,Flash!  Ahhhhhhh~,AT_055,Flash Heal,COMMON,TGT,HOLY,Restore #5 Health.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonboy Meyers,HUNTER,TRUE,3,2638,pow POW pow,AT_056,Powershot,RARE,TGT,NA,Deal $2 damage to a minion and the minions next to it.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyson Murphy,HUNTER,TRUE,3,2639,"Takes way better care of her pets than her brother, Unstablemaster.",AT_057,Stablemaster,EPIC,TGT,NA,<b>Battlecry:</b> Give a friendly Beast <b>Immune</b> this turn.,MINION,BATTLECRY,4,2,NA,NA,Grant <b>Immune</b> this turn.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Zhang,HUNTER,TRUE,2,2635,Elekk jousting is AWESOME.,AT_058,King's Elekk,COMMON,TGT,NA,"<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, draw it.",MINION,BATTLECRY,3,2,BEAST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eva Widermann,HUNTER,TRUE,1,2642,"This is a ""bearly"" concealed reference.",AT_059,Brave Archer,COMMON,TGT,NA,"<b>Inspire:</b> If your hand is empty, deal 2 damage to the enemy hero.",MINION,INSPIRE,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Richard Wright,HUNTER,TRUE,2,2641,"You'll never guess what's in that conveniently bear-sized, bear-smelling box.",AT_060,Bear Trap,COMMON,TGT,NA,"<b>Secret:</b> After your hero is attacked, summon a 3/3 Bear with <b>Taunt</b>.",SPELL,SECRET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Dixon,HUNTER,TRUE,1,2484,"Rexxar narrowed his eyes, grabbed his machine gun, and said: ""It's go time.  Lock and load.""
This card pays homage to that special moment.",AT_061,Lock and Load,EPIC,TGT,NA,"Each time you cast a spell this turn, add a random Hunter card to your hand.",SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Skan Srisuwan,HUNTER,TRUE,6,2483,"""THEY'RE EVERYWHERE GET THEM OFF!!!"" - Everyone",AT_062,Ball of Spiders,RARE,TGT,NA,Summon three 1/1 Webspinners.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrew Hou,HUNTER,TRUE,7,2633,"With the help of his trusty sidekick Dreadscale, the giant jormungar Acidmaw is ready to face any knight!",AT_063,Acidmaw,LEGENDARY,TGT,NA,"Whenever another minion takes damage, destroy it.",MINION,TRIGGER_VISUAL,4,2,BEAST,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zoltan Boros,HUNTER,TRUE,3,2634,Let's be clear about this:  ACIDMAW is the sidekick.,AT_063t,Dreadscale,LEGENDARY,TGT,NA,"At the end of your turn, deal 1 damage to all other minions.",MINION,TRIGGER_VISUAL,4,2,BEAST,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dany Orizio,WARRIOR,TRUE,3,2729,You might think bashing doesn't take a lot of practice.  It doesn't.,AT_064,Bash,COMMON,TGT,NA,"Deal $3 damage.
Gain 3 Armor.",SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Franchina,WARRIOR,TRUE,3,2756,"""King's Attacker"" is a shield.  Funny, huh?",AT_065,King's Defender,RARE,TGT,NA,"<b>Battlecry:</b> If you have a minion with <b>Taunt</b>, gain +1 Durability.",WEAPON,BATTLECRY,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hideaki Takamura,WARRIOR,TRUE,3,2711,"""Four out of three orcs struggle with math."" - Angry Zurge",AT_066,Orgrimmar Aspirant,COMMON,TGT,NA,<b>Inspire:</b> Give your weapon +1 Attack.,MINION,INSPIRE,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Horley Orlandelli,WARRIOR,TRUE,4,2753,Playing him also gets you into the Magnataur Beta.,AT_067,Magnataur Alpha,EPIC,TGT,NA,"Also damages the minions next to whomever
he attacks.",MINION,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mishi McCaig,WARRIOR,TRUE,2,2754,The best offense is a good defense.,AT_068,Bolster,COMMON,TGT,NA,Give your <b>Taunt</b> minions +2/+2.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jim Nelson,WARRIOR,TRUE,2,2733,"Come at me, bro.",AT_069,Sparring Partner,RARE,TGT,NA,"<b>Taunt</b>
<b>Battlecry:</b> Give a
minion <b>Taunt</b>.",MINION,BATTLECRY,3,2,NA,NA,Grant <b>Taunt</b>.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Horley Orlandelli,NEUTRAL,TRUE,7,2757,What's more boss than riding a parrot with a jawbone for a shoulderpad while wielding a giant hook-lance-thing and wearing a pirate hat?  NOTHING.,AT_070,Skycap'n Kragg,LEGENDARY,TGT,NA,"<b>Charrrrrge</b>
Costs (1) less for each friendly Pirate.",MINION,CHARGE,4,6,PIRATE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evgeniy Zaqumyennyy,WARRIOR,TRUE,2,2758,"""Put more spikes on her.  No, more spikes.  What part of 'more spikes' do you not understand?  MORE SPIKES!"" - Alexstrasza",AT_071,Alexstrasza's Champion,RARE,TGT,NA,"<b>Battlecry:</b> If you're holding a Dragon, gain +1 Attack and <b>Charge</b>.",MINION,BATTLECRY,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wei Wang,WARRIOR,TRUE,10,2760,"Leader of the Alliance!  Father of Anduin!  Also he likes to play Arena, and he averages 12 wins.",AT_072,Varian Wrynn,LEGENDARY,TGT,NA,"<b>Battlecry:</b> Draw 3 cards.
Put any minions you drew directly into the battlefield.",MINION,BATTLECRY,7,7,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jim Nelson,PALADIN,TRUE,1,2648,Competition can be an inspiration to improve oneself.  Or kill all the competitors.,AT_073,Competitive Spirit,RARE,TGT,NA,"<b>Secret:</b> When your turn starts, give your minions +1/+1.",SPELL,SECRET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
